LT,KM,KT,LB,Price,Kota/Kab,Provinsi,Type
480,3,4,600,21.500.000.000,Surabaya Kota,Jawa Timur,Rumah
480,3,5,220,1.750.000.000,Manado Kota,Sulawesi Utara,Rumah
480,2,3,600,16.000.000.000,Makassar Kota,Sulawesi Selatan,Rumah
480,1,1,480,6.240.000.000,Makassar Kota,Sulawesi Selatan,Rumah
479,4,4,400,1.200.000.000,Minahasa Kab.,Sulawesi Utara,Rumah
477,4,4,740,18.800.000.000,Kab. Badung,Bali,Rumah
470,4,5,350,3.400.000.000,Banda Aceh Kota,Aceh D.I.,Rumah
470,3,4,250,9.999.999.999,Jakarta Timur,Jakarta D.K.I.,Rumah
470,3,3,350,12.000.000.000,Kab. Badung,Bali,Rumah
469,8,7,360,1.200.000.000,Pringsewu Kab.,Lampung,Rumah
462,2,3,235,1.500.000.000,Balikpapan Kota,Kalimantan Timur,Rumah
458,6,5,850,16.500.000.000,Tangerang Selatan Kota,Banten,Rumah
454,1,1,0,600.000.000,Mataram Kota,Nusa Tenggara Barat,Rumah
450,5,7,900,16.500.000.000,Makassar Kota,Sulawesi Selatan,Rumah
450,6,5,340,9.000.000.000,Manado Kota,Sulawesi Utara,Rumah
450,4,6,112,2.300.000.000,Padang Kota,Sumatra Barat,Rumah
450,5,4,415,8.300.000.000,Kab. Badung,Bali,Rumah
450,4,5,900,12.400.000.000,Surabaya Kota,Jawa Timur,Rumah
450,2,4,130,750.000.000,Pekanbaru Kota,Riau,Rumah
450,5,5,400,1.700.000.000,Pekanbaru Kota,Riau,Rumah
450,3,6,300,1.600.000.000,Pelalawan Kab.,Riau,Rumah
450,2,2,174,650.000.000,Pekanbaru Kota,Riau,Rumah
450,7,6,600,7.250.000.000,Batam Kota,Kepulauan Riau,Rumah
450,5,4,165,500.000.000,Kutai Kartanegara Kab.,Kalimantan Timur,Rumah
449,2,2,100,950.000.000,Pontianak Kota,Kalimantan Barat,Rumah
440,4,5,350,9.000.000.000,Aceh Besar Kab.,Aceh D.I.,Rumah
440,3,3,440,4.900.000.000,Manado Kota,Sulawesi Utara,Rumah
438,2,4,155,275.000.000,Pekanbaru Kota,Riau,Rumah
432,2,2,200,2.490.000.000,Cilacap Kab.,Jawa Tengah,Rumah
430,7,7,650,12.000.000.000,Bogor Kota,Jawa Barat,Rumah
430,2,4,280,1.700.000.000,Palembang Kota,Sumatra Selatan,Rumah
430,2,4,100,1.500.000.000,Mataram Kota,Nusa Tenggara Barat,Rumah
430,2,2,110,525.000.000,Bandar Lampung Kota,Lampung,Rumah
426,2,2,217,1.550.000.000,Bantul Kab.,Yogyakarta D.I.,Rumah
425,6,6,1000,7.500.000.000,Kab. Badung,Bali,Rumah
425,4,4,1000,7.500.000.000,Kab. Badung,Bali,Rumah
425,6,7,443,3.500.000.000,Padang Kota,Sumatra Barat,Rumah
425,6,6,250,3.000.000.000,Bandar Lampung Kota,Lampung,Rumah
425,5,7,380,5.000.000.000,Balikpapan Kota,Kalimantan Timur,Rumah
423,3,3,400,5.900.000.000,Jakarta Timur,Jakarta D.K.I.,Rumah
422,1,2,200,700.000.000,Bandar Lampung Kota,Lampung,Rumah
420,5,4,451,18.000.000.000,Tangerang Selatan Kota,Banten,Rumah
420,5,5,780,10.500.000.000,Surakarta Kota,Jawa Tengah,Rumah
420,4,5,500,12.999.999.000,Balikpapan Kota,Kalimantan Timur,Rumah
418,4,4,400,6.500.000.000,Banda Aceh Kota,Aceh D.I.,Rumah
418,3,4,250,3.000.000.000,Musi Banyuasin Kab.,Sumatra Selatan,Rumah
417,5,5,718,16.000.000.000,Jakarta Selatan,Jakarta D.K.I.,Rumah
417,2,3,150,1.800.000.000,Mataram Kota,Nusa Tenggara Barat,Rumah
416,2,4,414,6.000.000.000,Sidoarjo Kab.,Jawa Timur,Rumah
414,3,8,456,3.600.000.000,Palembang Kota,Sumatra Selatan,Rumah
409,2,2,175,800.000.000,Aceh Tengah Kab.,Aceh D.I.,Rumah
408,2,3,300,2.600.000.000,Semarang Kota,Jawa Tengah,Rumah
405,3,2,125,4.000.000.000,Kab. Badung,Bali,Rumah
402,3,4,170,2.800.000.000,Palembang Kota,Sumatra Selatan,Rumah
402,5,4,183,1.800.000.000,Pekanbaru Kota,Riau,Rumah
402,7,5,662,6.900.000.000,Batam Kota,Kepulauan Riau,Rumah
402,1,2,175,250.000.000,Tanah Laut Kab.,Kalimantan Selatan,Rumah
400,3,2,112,1.200.000.000,Palembang Kota,Sumatra Selatan,Rumah
400,3,4,300,1.500.000.000,Padang Kota,Sumatra Barat,Rumah
400,2,3,138,1.700.000.000,Padang Kota,Sumatra Barat,Rumah
400,4,4,400,7.500.000.000,Jakarta Timur,Jakarta D.K.I.,Rumah
400,3,5,288,3.500.000.000,Palembang Kota,Sumatra Selatan,Rumah
400,3,5,450,2.900.000.000,Manado Kota,Sulawesi Utara,Rumah
400,4,5,160,3.600.000.000,Tangerang Kota,Banten,Rumah
400,4,5,250,7.000.000.000,Denpasar Kota,Bali,Rumah
400,4,5,250,7.000.000.000,Denpasar Kota,Bali,Rumah
400,2,4,226,1.750.000.000,Padang Kota,Sumatra Barat,Rumah
400,7,7,550,81.340.804.567,Padang Kota,Sumatra Barat,Rumah
400,4,5,330,3.100.000.000,Pekanbaru Kota,Riau,Rumah
400,3,8,636,6.500.000.000,Medan Kota,Sumatra Utara,Rumah
400,5,4,244,2.000.000.000,Manado Kota,Sulawesi Utara,Rumah
400,4,6,200,5.800.000.000,Bandung Kota,Jawa Barat,Rumah
400,1,4,165,617.350.000,Ogan Komering Ulu Selatan Kab.,Sumatra Selatan,Rumah
400,2,6,400,750.000.000,Padang Kota,Sumatra Barat,Rumah
400,3,6,200,1.800.000.000,Mataram Kota,Nusa Tenggara Barat,Rumah
400,2,4,250,1.200.000.000,Mataram Kota,Nusa Tenggara Barat,Rumah
400,2,3,300,1.499.000.000,Mataram Kota,Nusa Tenggara Barat,Rumah
400,5,4,600,7.500.000.000,Batam Kota,Kepulauan Riau,Rumah
399,2,4,200,639.000.000,Bandar Lampung Kota,Lampung,Rumah
396,1,3,120,950.000.000,Pekanbaru Kota,Riau,Rumah
391,3,4,168,2.000.000.000,Pontianak Kota,Kalimantan Barat,Rumah
390,3,4,130,950.000.000,Pekanbaru Kota,Riau,Rumah
390,1,4,384,6.700.000.000,Pontianak Kota,Kalimantan Barat,Rumah
389,4,6,324,4.500.000.000,Yogyakarta Kota,Yogyakarta D.I.,Rumah
385,4,5,450,10.000.000.000,Jakarta Selatan,Jakarta D.K.I.,Rumah
385,2,3,150,3.000.000.000,Mataram Kota,Nusa Tenggara Barat,Rumah
385,3,3,130,750.000.000,Banjar Kab.,Kalimantan Selatan,Rumah
378,3,5,300,1.000.000.000,Manado Kota,Sulawesi Utara,Rumah
375,5,7,335,8.500.000.000,Tangerang Selatan Kota,Banten,Rumah
375,3,3,290,4.200.000.000,Pariaman Kota,Sumatra Barat,Rumah
375,2,3,160,4.200.000.000,Balikpapan Kota,Kalimantan Timur,Rumah
374,4,8,204,1.500.000.000,Banjarmasin Kota,Kalimantan Selatan,Rumah
374,1,4,210,1.000.000.000,Pontianak Kota,Kalimantan Barat,Rumah
374,3,4,210,1.000.000.000,Pontianak Kota,Kalimantan Barat,Rumah
372,3,4,180,3.000.000.000,Pontianak Kota,Kalimantan Barat,Rumah
370,2,3,80,1.670.000.000,Padang Kota,Sumatra Barat,Rumah
370,2,3,570,2.000.000.000,Banjarmasin Kota,Kalimantan Selatan,Rumah
369,2,5,175,650.000.000,Jombang Kab.,Jawa Timur,Rumah
